preset,scenario_label,factor,factor_value,strategy,total_cost_inr,fuel_cost_inr,diesel_liters,diesel_hours,co2_kg,renewable_share_pct,unserved_critical_kwh,cost_saved_vs_naive_pct,cost_saved_vs_cc_pct
kutch_village,baseline_defaults,baseline,baseline_defaults,optimized,7039.31,6395.07,71.06,9.0,190.43,48.36,0.0,31.39,4.08
kutch_village,baseline_defaults,baseline,baseline_defaults,naive,10259.46,8341.36,92.68,22.0,248.39,48.36,0.0,0.0,0.0
kutch_village,baseline_defaults,baseline,baseline_defaults,cycle_charging,7338.72,6630.86,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,cloud_0pct,cloud,cloud_cover_pct=0,optimized,5108.11,4587.11,50.97,7.0,136.59,64.89,0.0,31.41,11.42
kutch_village,cloud_0pct,cloud,cloud_cover_pct=0,naive,7447.78,6858.06,76.2,19.0,204.22,66.09,0.0,0.0,0.0
kutch_village,cloud_0pct,cloud,cloud_cover_pct=0,cycle_charging,5766.59,5157.34,57.3,7.0,153.57,64.12,0.0,0.0,0.0
kutch_village,cloud_30pct,cloud,cloud_cover_pct=30,optimized,5158.85,4634.5,51.49,7.0,138.0,64.35,0.0,31.11,10.59
kutch_village,cloud_30pct,cloud,cloud_cover_pct=30,naive,7488.9,6900.63,76.67,19.0,205.49,65.44,0.0,0.0,0.0
kutch_village,cloud_30pct,cloud,cloud_cover_pct=30,cycle_charging,5769.96,5157.34,57.3,7.0,153.57,64.0,0.0,0.0,0.0
kutch_village,cloud_60pct,cloud,cloud_cover_pct=60,optimized,5680.14,5114.97,56.83,7.0,152.31,58.93,0.0,29.81,1.13
kutch_village,cloud_60pct,cloud,cloud_cover_pct=60,naive,8091.95,7501.96,83.36,20.0,223.39,59.1,0.0,0.0,0.0
kutch_village,cloud_60pct,cloud,cloud_cover_pct=60,cycle_charging,5745.23,5157.34,57.3,7.0,153.57,59.1,0.0,0.0,0.0
kutch_village,cloud_90pct,cloud,cloud_cover_pct=90,optimized,8538.68,7779.34,86.44,11.0,231.65,36.97,0.0,28.89,4.48
kutch_village,cloud_90pct,cloud,cloud_cover_pct=90,naive,12007.46,10550.48,117.23,28.0,314.17,36.97,0.0,0.0,0.0
kutch_village,cloud_90pct,cloud,cloud_cover_pct=90,cycle_charging,8938.9,8104.39,90.05,11.0,241.33,36.97,0.0,0.0,0.0
kutch_village,diesel_price_70,diesel,diesel_price=70,optimized,5615.66,4972.8,71.04,9.0,190.39,48.36,0.0,33.19,4.25
kutch_village,diesel_price_70,diesel,diesel_price=70,naive,8405.82,6487.72,92.68,22.0,248.39,48.36,0.0,0.0,0.0
kutch_village,diesel_price_70,diesel,diesel_price=70,cycle_charging,5865.19,5157.34,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,diesel_price_90,diesel,diesel_price=90,optimized,7039.31,6395.07,71.06,9.0,190.43,48.36,0.0,31.39,4.08
kutch_village,diesel_price_90,diesel,diesel_price=90,naive,10259.46,8341.36,92.68,22.0,248.39,48.36,0.0,0.0,0.0
kutch_village,diesel_price_90,diesel,diesel_price=90,cycle_charging,7338.72,6630.86,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,diesel_price_110,diesel,diesel_price=110,optimized,8457.26,7814.4,71.04,9.0,190.39,48.36,0.0,30.18,4.03
kutch_village,diesel_price_110,diesel,diesel_price=110,naive,12113.09,10194.99,92.68,22.0,248.39,48.36,0.0,0.0,0.0
kutch_village,diesel_price_110,diesel,diesel_price=110,cycle_charging,8812.24,8104.39,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,diesel_price_130,diesel,diesel_price=130,optimized,9878.06,9235.2,71.04,9.0,190.39,48.36,0.0,29.27,3.96
kutch_village,diesel_price_130,diesel,diesel_price=130,naive,13966.73,12048.63,92.68,22.0,248.39,48.36,0.0,0.0,0.0
kutch_village,diesel_price_130,diesel,diesel_price=130,cycle_charging,10285.77,9577.91,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,extra_battery_25kwh,extra,extra_battery_kwh=25,optimized,6998.58,6374.08,70.82,9.0,189.81,48.36,0.0,35.49,13.9
kutch_village,extra_battery_25kwh,extra,extra_battery_kwh=25,naive,10849.44,8183.61,90.93,22.0,243.69,48.36,0.0,0.0,0.0
kutch_village,extra_battery_25kwh,extra,extra_battery_kwh=25,cycle_charging,8128.49,5894.1,65.49,8.0,175.51,48.36,0.0,0.0,0.0
kutch_village,extra_battery_50kwh,extra,extra_battery_kwh=50,optimized,6989.99,6369.66,70.77,9.0,189.67,48.36,0.0,37.84,14.65
kutch_village,extra_battery_50kwh,extra,extra_battery_kwh=50,naive,11245.25,7842.6,87.14,21.0,233.54,48.36,0.0,0.0,0.0
